Index,Tindakan / Action Log
1,"Action: Start Dual Adjustment | ACC: ('A1',) | Target PPN: 4,000,000,000.00 | Target BTKP: 3,500,000,000.00"
2,--- Memulai Fase Penyesuaian PPN ---
3,"PPN -> Current: 3,654,613,114.24 | Gap: 345,386,885.76"
4,"[PPN] Target Penambahan: 345,386,885.76"
5,[PPN] Faktor Penambahan (P): 0.0945
6,"[A1 ] Action: Inject Fiktif [500/19780] | Receipt: 04-251201/00054 | Product: 0080435    | Qty Added: 4 | Value: 6,600.00 | Remaining Gap: 336,647,985.76"
7,"[A1 ] Action: Inject Fiktif [500/19780] | Receipt: 04-251201/00054 | Product: 0320948    | Qty Added: 2 | Value: 1,000.00 | Remaining Gap: 336,646,985.76"
8,"[A1 ] Action: Inject Fiktif [1000/19780] | Receipt: 01-251202/00151 | Product: 0623115    | Qty Added: 1 | Value: 26,250.00 | Remaining Gap: 327,155,435.76"
9,"[A1 ] Action: Inject Fiktif [1000/19780] | Receipt: 01-251202/00151 | Product: 0170028    | Qty Added: 1 | Value: 5,050.00 | Remaining Gap: 327,150,385.76"
10,"[A1 ] Action: Inject Fiktif [1000/19780] | Receipt: 01-251202/00151 | Product: 0320238    | Qty Added: 2 | Value: 4,000.00 | Remaining Gap: 327,146,385.76"
11,"[A1 ] Action: Inject Fiktif [1500/19780] | Receipt: 04-251202/00142 | Product: 0140707    | Qty Added: 1 | Value: 925.00 | Remaining Gap: 317,926,904.76"
12,"[A1 ] Action: Inject Fiktif [2000/19780] | Receipt: 02-251203/00097 | Product: 0280644    | Qty Added: 2 | Value: 11,000.00 | Remaining Gap: 308,430,479.76"
13,"[A1 ] Action: Inject Fiktif [2500/19780] | Receipt: 05-251203/00150 | Product: 0340884    | Qty Added: 1 | Value: 15,750.00 | Remaining Gap: 299,733,454.76"
14,"[A1 ] Action: Inject Fiktif [3000/19780] | Receipt: 05-251204/00012 | Product: 0480813 | Qty Added: 1 | Value: 8,300.00 | Remaining Gap: 291,799,127.76"
15,"[A1 ] Action: Inject Fiktif [3000/19780] | Receipt: 05-251204/00012 | Product: 0320065    | Qty Added: 1 | Value: 1,900.00 | Remaining Gap: 291,797,227.76"
16,"[A1 ] Action: Inject Fiktif [3500/19780] | Receipt: 03-251205/00072 | Product: 0180013    | Qty Added: 10 | Value: 86,000.00 | Remaining Gap: 282,682,652.76"
17,"[A1 ] Action: Inject Fiktif [3500/19780] | Receipt: 03-251205/00072 | Product: 0080385    | Qty Added: 1 | Value: 1,325.00 | Remaining Gap: 282,681,327.76"
18,"[A1 ] Action: Inject Fiktif [4000/19780] | Receipt: 01-251206/00103 | Product: 0280662    | Qty Added: 16 | Value: 30,400.00 | Remaining Gap: 270,850,302.76"
19,"[A1 ] Action: Inject Fiktif [4000/19780] | Receipt: 01-251206/00103 | Product: 0330481    | Qty Added: 1 | Value: 850.00 | Remaining Gap: 270,849,452.76"
20,"[A1 ] Action: Inject Fiktif [4500/19780] | Receipt: 04-251206/00136 | Product: 0110380    | Qty Added: 6 | Value: 67,800.00 | Remaining Gap: 261,930,127.76"
21,"[A1 ] Action: Inject Fiktif [5000/19780] | Receipt: 03-251207/00009 | Product: 6700055    | Qty Added: 1 | Value: 2,950.00 | Remaining Gap: 253,482,002.76"
22,"[A1 ] Action: Inject Fiktif [5500/19780] | Receipt: 02-251208/00018 | Product: 0611023    | Qty Added: 1 | Value: 3,900.00 | Remaining Gap: 244,605,647.76"
23,"[A1 ] Action: Inject Fiktif [6000/19780] | Receipt: 05-251208/00118 | Product: 0400039 | Qty Added: 1 | Value: 11,350.00 | Remaining Gap: 235,863,447.76"
24,"[A1 ] Action: Inject Fiktif [6000/19780] | Receipt: 05-251208/00118 | Product: 0290311    | Qty Added: 1 | Value: 6,900.00 | Remaining Gap: 235,856,547.76"
25,"[A1 ] Action: Inject Fiktif [6500/19780] | Receipt: 05-251209/00009 | Product: 0650630    | Qty Added: 1 | Value: 12,600.00 | Remaining Gap: 228,846,947.76"
26,"[A1 ] Action: Inject Fiktif [6500/19780] | Receipt: 05-251209/00009 | Product: 0280502    | Qty Added: 1 | Value: 2,150.00 | Remaining Gap: 228,844,797.76"
27,"[A1 ] Action: Inject Fiktif [6500/19780] | Receipt: 05-251209/00009 | Product: 0321298    | Qty Added: 1 | Value: 950.00 | Remaining Gap: 228,843,847.76"
28,"[A1 ] Action: Inject Fiktif [7000/19780] | Receipt: 04-251210/00029 | Product: 0201896    | Qty Added: 2 | Value: 4,100.00 | Remaining Gap: 218,140,122.76"
29,"[A1 ] Action: Inject Fiktif [7000/19780] | Receipt: 04-251210/00029 | Product: 0250262    | Qty Added: 3 | Value: 1,500.00 | Remaining Gap: 218,138,622.76"
30,"[A1 ] Action: Inject Fiktif [7500/19780] | Receipt: 02-251211/00125 | Product: 0291420    | Qty Added: 1 | Value: 10,600.00 | Remaining Gap: 209,241,397.76"
31,"[A1 ] Action: Inject Fiktif [7500/19780] | Receipt: 02-251211/00125 | Product: 0250706    | Qty Added: 10 | Value: 9,500.00 | Remaining Gap: 209,231,897.76"
32,"[A1 ] Action: Inject Fiktif [8000/19780] | Receipt: 01-251212/00052 | Product: 0230115    | Qty Added: 1 | Value: 5,100.00 | Remaining Gap: 201,431,572.76"
33,"[A1 ] Action: Inject Fiktif [8500/19780] | Receipt: 04-251212/00102 | Product: 0250216    | Qty Added: 1 | Value: 10,500.00 | Remaining Gap: 193,833,716.76"
34,"[A1 ] Action: Inject Fiktif [8500/19780] | Receipt: 04-251212/00102 | Product: 0140369    | Qty Added: 1 | Value: 2,800.00 | Remaining Gap: 193,830,916.76"
35,"[A1 ] Action: Inject Fiktif [8500/19780] | Receipt: 04-251212/00102 | Product: 0080263    | Qty Added: 1 | Value: 1,100.00 | Remaining Gap: 193,829,816.76"
36,"[A1 ] Action: Inject Fiktif [9000/19780] | Receipt: 02-251213/00129 | Product: 0140029    | Qty Added: 7 | Value: 21,000.00 | Remaining Gap: 185,576,641.76"
37,"[A1 ] Action: Inject Fiktif [9000/19780] | Receipt: 02-251213/00129 | Product: 0320168    | Qty Added: 1 | Value: 1,850.00 | Remaining Gap: 185,574,791.76"
38,"[A1 ] Action: Inject Fiktif [9500/19780] | Receipt: 01-251214/00017 | Product: 0210036    | Qty Added: 1 | Value: 23,200.00 | Remaining Gap: 177,466,816.76"
39,"[A1 ] Action: Inject Fiktif [9500/19780] | Receipt: 01-251214/00017 | Product: 0341127    | Qty Added: 1 | Value: 4,800.00 | Remaining Gap: 177,462,016.76"
40,"[A1 ] Action: Inject Fiktif [9500/19780] | Receipt: 01-251214/00017 | Product: 0630013    | Qty Added: 1 | Value: 1,250.00 | Remaining Gap: 177,460,766.76"
41,"[A1 ] Action: Inject Fiktif [10000/19780] | Receipt: 01-251215/00065 | Product: 0660669    | Qty Added: 2 | Value: 34,000.00 | Remaining Gap: 169,061,016.76"
42,"[A1 ] Action: Inject Fiktif [10000/19780] | Receipt: 01-251215/00065 | Product: 0320034    | Qty Added: 1 | Value: 7,400.00 | Remaining Gap: 169,053,616.76"
43,"[A1 ] Action: Inject Fiktif [10000/19780] | Receipt: 01-251215/00065 | Product: 0070227    | Qty Added: 1 | Value: 4,250.00 | Remaining Gap: 169,049,366.76"
44,"[A1 ] Action: Inject Fiktif [10000/19780] | Receipt: 01-251215/00065 | Product: 0230057    | Qty Added: 1 | Value: 1,400.00 | Remaining Gap: 169,047,966.76"
45,"[A1 ] Action: Inject Fiktif [10500/19780] | Receipt: 05-251215/00091 | Product: 0051586    | Qty Added: 2 | Value: 9,100.00 | Remaining Gap: 161,619,789.76"
46,"[A1 ] Action: Inject Fiktif [10500/19780] | Receipt: 05-251215/00091 | Product: 0250794    | Qty Added: 1 | Value: 1,850.00 | Remaining Gap: 161,617,939.76"
47,"[A1 ] Action: Inject Fiktif [10500/19780] | Receipt: 05-251215/00091 | Product: 0280668 | Qty Added: 1 | Value: 950.00 | Remaining Gap: 161,616,989.76"
48,"[A1 ] Action: Inject Fiktif [11000/19780] | Receipt: 04-251216/00124 | Product: 0200105    | Qty Added: 1 | Value: 5,450.00 | Remaining Gap: 154,615,089.76"
49,"[A1 ] Action: Inject Fiktif [11500/19780] | Receipt: 04-251217/00094 | Product: 0330394    | Qty Added: 1 | Value: 850.00 | Remaining Gap: 147,310,089.76"
50,"[A1 ] Action: Inject Fiktif [12000/19780] | Receipt: 05-251218/00046 | Product: 0612438    | Qty Added: 1 | Value: 34,500.00 | Remaining Gap: 139,089,289.76"
51,"[A1 ] Action: Inject Fiktif [12000/19780] | Receipt: 05-251218/00046 | Product: 0321760    | Qty Added: 2 | Value: 3,800.00 | Remaining Gap: 139,085,489.76"
52,"[A1 ] Action: Inject Fiktif [12000/19780] | Receipt: 05-251218/00046 | Product: 0080407    | Qty Added: 1 | Value: 1,500.00 | Remaining Gap: 139,083,989.76"
53,"[A1 ] Action: Inject Fiktif [12500/19780] | Receipt: 04-251219/00055 | Product: 0350379    | Qty Added: 3 | Value: 5,100.00 | Remaining Gap: 132,895,489.76"
54,"[A1 ] Action: Inject Fiktif [13000/19780] | Receipt: 02-251220/00131 | Product: 0090083    | Qty Added: 4 | Value: 3,600.00 | Remaining Gap: 124,868,114.76"
55,"[A1 ] Action: Inject Fiktif [13500/19780] | Receipt: 02-251221/00007 | Product: 0101533    | Qty Added: 5 | Value: 9,750.00 | Remaining Gap: 116,708,789.76"
56,"[A1 ] Action: Inject Fiktif [13500/19780] | Receipt: 02-251221/00007 | Product: 0321062    | Qty Added: 2 | Value: 1,000.00 | Remaining Gap: 116,707,789.76"
57,"[A1 ] Action: Inject Fiktif [14000/19780] | Receipt: 02-251222/00066 | Product: 0321512    | Qty Added: 6 | Value: 3,000.00 | Remaining Gap: 109,890,364.76"
58,"[A1 ] Action: Inject Fiktif [14500/19780] | Receipt: 02-251223/00014 | Product: 0250059    | Qty Added: 1 | Value: 4,050.00 | Remaining Gap: 97,709,614.76"
59,"[A1 ] Action: Inject Fiktif [14500/19780] | Receipt: 02-251223/00014 | Product: 0201992    | Qty Added: 1 | Value: 2,700.00 | Remaining Gap: 97,706,914.76"
60,"[A1 ] Action: Inject Fiktif [15000/19780] | Receipt: 01-251224/00073 | Product: 0630169    | Qty Added: 1 | Value: 8,650.00 | Remaining Gap: 90,120,839.76"
61,"[A1 ] Action: Inject Fiktif [15500/19780] | Receipt: 05-251224/00006 | Product: 0250695    | Qty Added: 1 | Value: 15,750.00 | Remaining Gap: 82,801,289.76"
62,"[A1 ] Action: Inject Fiktif [15500/19780] | Receipt: 05-251224/00006 | Product: 0690284    | Qty Added: 1 | Value: 7,100.00 | Remaining Gap: 82,794,189.76"
63,"[A1 ] Action: Inject Fiktif [16000/19780] | Receipt: 04-251225/00049 | Product: 0090056    | Qty Added: 2 | Value: 4,100.00 | Remaining Gap: 72,984,226.76"
64,"[A1 ] Action: Inject Fiktif [16000/19780] | Receipt: 04-251225/00049 | Product: 0321899    | Qty Added: 1 | Value: 1,000.00 | Remaining Gap: 72,983,226.76"
65,"[A1 ] Action: Inject Fiktif [16500/19780] | Receipt: 04-251226/00005 | Product: 0300323    | Qty Added: 1 | Value: 20,900.00 | Remaining Gap: 65,351,826.76"
66,"[A1 ] Action: Inject Fiktif [16500/19780] | Receipt: 04-251226/00005 | Product: 0200104    | Qty Added: 1 | Value: 5,000.00 | Remaining Gap: 65,346,826.76"
67,"[A1 ] Action: Inject Fiktif [17500/19780] | Receipt: 01-251228/00076 | Product: 0200130    | Qty Added: 1 | Value: 3,200.00 | Remaining Gap: 48,063,126.76"
68,"[A1 ] Action: Inject Fiktif [17500/19780] | Receipt: 01-251228/00076 | Product: 0290013    | Qty Added: 1 | Value: 900.00 | Remaining Gap: 48,062,226.76"
69,"[A1 ] Action: Inject Fiktif [18000/19780] | Receipt: 02-251229/00033 | Product: 0170031    | Qty Added: 1 | Value: 8,550.00 | Remaining Gap: 38,253,551.76"
70,"[A1 ] Action: Inject Fiktif [18500/19780] | Receipt: 05-251229/00050 | Product: 0140077 | Qty Added: 1 | Value: 5,150.00 | Remaining Gap: 30,389,376.76"
71,"[A1 ] Action: Inject Fiktif [18500/19780] | Receipt: 05-251229/00050 | Product: 0321136    | Qty Added: 1 | Value: 1,050.00 | Remaining Gap: 30,388,326.76"
