System: Starting background adjustment process...
System: Memulai proses untuk akun A1 (Start: 2025-08-01, End: 2025-08-31)
System: Target PPN: 1000000000, Target BTKP: 100000000
System: Restarting adjustment with force rerun enabled...
Action: Start Dual Adjustment | ACC: ('A1',) | Target PPN: 1,000,000,000.00 | Target BTKP: 100,000,000.00
--- Memulai Fase Penyesuaian PPN ---
PPN -> Current: 3,441,193,788.50 | Gap: -2,441,193,788.50
[PPN] Target Pemotongan: 2,441,193,788.50
[PPN] Faktor Proporsi (P): 0.7089
[A1] Action: Reduce Qty [500/20375] | Receipt: 03-250801/00051 | Product: 0140371    | Qty Reduced: 1.0 | Value: 2,950.00 | Remaining Gap: 2,412,482,308.50
[A1] Action: Reduce Qty [500/20375] | Receipt: 03-250801/00051 | Product: 0140369    | Qty Reduced: 1.0 | Value: 2,800.00 | Remaining Gap: 2,412,479,508.50
[A1] Action: Reduce Qty [500/20375] | Receipt: 03-250801/00051 | Product: 0600069    | Qty Reduced: 1.0 | Value: 3,350.00 | Remaining Gap: 2,412,476,158.50
[A1] Action: Reduce Qty [500/20375] | Receipt: 03-250801/00051 | Product: 0220236    | Qty Reduced: 5.0 | Value: 8,000.00 | Remaining Gap: 2,412,468,158.50
[A1] Action: Reduce Qty [500/20375] | Receipt: 03-250801/00051 | Product: 0611734    | Qty Reduced: 1.0 | Value: 2,950.00 | Remaining Gap: 2,412,465,208.50
[A1] Action: Reduce Qty [500/20375] | Receipt: 03-250801/00051 | Product: 0610064    | Qty Reduced: 1.0 | Value: 2,950.00 | Remaining Gap: 2,412,462,258.50
[A1] Action: Reduce Qty [1000/20375] | Receipt: 01-250802/00082 | Product: 0140064    | Qty Reduced: 3.0 | Value: 9,000.00 | Remaining Gap: 2,380,156,833.50
[A1] Action: Reduce Qty [1000/20375] | Receipt: 01-250802/00082 | Product: 0140369    | Qty Reduced: 2.0 | Value: 5,600.00 | Remaining Gap: 2,380,151,233.50
[A1] Action: Reduce Qty [1000/20375] | Receipt: 01-250802/00082 | Product: 0610699    | Qty Reduced: 2.0 | Value: 8,000.00 | Remaining Gap: 2,380,143,233.50
[A1] Action: Reduce Qty [1000/20375] | Receipt: 01-250802/00082 | Product: 0110300    | Qty Reduced: 2.0 | Value: 6,200.00 | Remaining Gap: 2,380,137,033.50
[A1] Action: Reduce Qty [1000/20375] | Receipt: 01-250802/00082 | Product: 0080370    | Qty Reduced: 9.0 | Value: 13,950.00 | Remaining Gap: 2,380,123,083.50
[A1] Action: Reduce Qty [1500/20375] | Receipt: 04-250802/00011 | Product: 0330394    | Qty Reduced: 1.0 | Value: 850.00 | Remaining Gap: 2,350,354,968.50
[A1] Action: Reduce Qty [1500/20375] | Receipt: 04-250802/00011 | Product: 0140020    | Qty Reduced: 1.0 | Value: 2,850.00 | Remaining Gap: 2,350,352,118.50
[A1] Action: Reduce Qty [1500/20375] | Receipt: 04-250802/00011 | Product: 0140021    | Qty Reduced: 1.0 | Value: 3,000.00 | Remaining Gap: 2,350,349,118.50
[A1] Action: Reduce Qty [1500/20375] | Receipt: 04-250802/00011 | Product: 0800028    | Qty Reduced: 1.0 | Value: 10,100.00 | Remaining Gap: 2,350,339,018.50
[A1] Action: Reduce Qty [1500/20375] | Receipt: 04-250802/00011 | Product: 0101599    | Qty Reduced: 4.0 | Value: 7,800.00 | Remaining Gap: 2,350,331,218.50
[A1] Action: Reduce Qty [1500/20375] | Receipt: 04-250802/00011 | Product: 0270134    | Qty Reduced: 1.0 | Value: 1,900.00 | Remaining Gap: 2,350,329,318.50
[A1] Action: Reduce Qty [2000/20375] | Receipt: 01-250803/00092 | Product: 0630029    | Qty Reduced: 2.0 | Value: 8,650.00 | Remaining Gap: 2,318,798,071.00
[A1] Action: Reduce Qty [2000/20375] | Receipt: 01-250803/00092 | Product: 0080099    | Qty Reduced: 9.0 | Value: 15,750.00 | Remaining Gap: 2,318,782,321.00
